School,"City, State",SR key,NCAA key,NCAA School,NCAA Name,background-color
Kansas City,"Kansas City, Missouri",missouri-kansas-city,umkc,Kansas City,University of Missouri-Kansas City,#004B87
Kansas State,"Manhattan, Kansas",kansas-state,kansas-st,Kansas St.,Kansas State University,#582C83
Kennesaw State,"Kennesaw, Georgia",kennesaw-state,kennesaw-st,Kennesaw St.,Kennesaw State University,#010101
Kent State,"Kent, Ohio",kent-state,kent-st,Kent St.,Kent State University,#003976
Kentucky,"Lexington, Kentucky",kentucky,kentucky,Kentucky,University of Kentucky,#3258AF
Kentucky Wesleyan Panthers,"Owensboro, Kentucky",kentucky-wesleyan,ky-wesleyan,Ky. Wesleyan,Kentucky Wesleyan College,#3B2B75
La Salle,"Philadelphia, Pennsylvania",la-salle,la-salle,La Salle,La Salle University,#003057
Lafayette,"Easton, Pennsylvania",lafayette,lafayette,Lafayette,Lafayette College,#862633
Lake Forest Foresters,"Lake Forest, Illinois",lake-forest,lake-forest,Lake Forest,Lake Forest College,#E31837
Lamar,"Beaumont, Texas",lamar,lamar,Lamar,Lamar University,#D50032
Lawrence Tech,"Southfield, Michigan",lawrence-tech,,,,
Le Moyne,"Syracuse, New York",le-moyne,le-moyne,Le Moyne,Le Moyne College,#154734
Lehigh,"Bethlehem, Pennsylvania",lehigh,lehigh,Lehigh,Lehigh University,#653819
Lewis Flyers,"Romeoville, Illinois",lewis,lewis,Lewis,Lewis University,#C22033
Liberty,"Lynchburg, Virginia",liberty,liberty,Liberty,Liberty University,#971A1F
Lindenwood,"St. Charles, Missouri",lindenwood,lindenwood-mo,Lindenwood,Lindenwood University,#010101
Lipscomb,"Nashville, Tennessee",lipscomb,lipscomb,Lipscomb,Lipscomb University,#2E1A47
Little Rock,"Little Rock, Arkansas",arkansas-little-rock,ualr,Little-Rock,Little Rock,#6F263D
Long Beach State,"Long Beach, California",long-beach-state,long-beach-st,Long Beach St.,Long Beach State University,#010101
Long Island University,"Brooklyn, New York",long-island-university,long-island,Long Island,Long Island University,#68A8D0
Longwood,"Farmville, Virginia",longwood,longwood,Longwood,Longwood University,#041E42
Louisiana,"Lafayette, Louisiana",louisiana-lafayette,la-lafayette,La.-Lafayette,University of Louisiana at Lafayette,#C8102E
Louisiana State,"Baton Rouge, Louisiana",louisiana-state,lsu,LSU,Louisiana State University,#582C83
Louisiana Tech,"Ruston, Louisiana",louisiana-tech,louisiana-tech,Louisiana Tech,Louisiana Tech University,#003087
Louisiana-Monroe,"Monroe, Louisiana",louisiana-monroe,la-monroe,La.-Monroe,University of Louisiana at Monroe,#8A2432
Louisville,"Louisville, Kentucky",louisville,louisville,Louisville,University of Louisville,#EE2722
Loyola (IL),"Chicago, Illinois",loyola-il,loyola-chicago,Loyola (IL),Loyola University Chicago,#861F41
Loyola (LA) Wolfpack,"New Orleans, Louisiana",loyola-la,,,,
Loyola (MD),"Baltimore, Maryland",loyola-md,loyola-maryland,Loyola Maryland,Loyola University Maryland,#115740
Loyola Marymount,"Los Angeles, California",loyola-marymount,loyola-marymount,Loyola Marymount,Loyola Marymount University,#AB0C2F
Macalester Scots,"St. Paul, Minnesota",macalester,macalester,Macalester,Macalester College,#00529B
Maine,"Orono, Maine",maine,maine,Maine,University of Maine,#0C2340
Manchester Spartans,"North Manchester, Indiana",manchester,manchester,Manchester,Manchester University,#010101
Manhattan,"Riverdale, New York",manhattan,manhattan,Manhattan,Manhattan College,#046A38
Marietta Pioneers,"Marietta, Ohio",marietta,marietta,Marietta,Marietta College,#00447C
Marist,"Poughkeepsie, New York",marist,marist,Marist,Marist College,#C8102E
Marquette,"Milwaukee, Wisconsin",marquette,marquette,Marquette,Marquette University,#1D2953
Marshall,"Huntington, West Virginia",marshall,marshall,Marshall,Marshall University,#00B140
Maryland,"College Park, Maryland",maryland,maryland,Maryland,University of Maryland-College Park,#C8102E
Maryland-Baltimore County,"Baltimore, Maryland",maryland-baltimore-county,umbc,Maryland-Baltimore-County,UMBC,#010101
Maryland-Eastern Shore,"Princess Anne, Maryland",maryland-eastern-shore,umes,,,
Massachusetts,"Amherst, Massachusetts",massachusetts,massachusetts,Mass-Amherst,University of Massachusetts,#732122
Massachusetts Institute of Technology Engineers,"Cambridge, Massachusetts",massachusetts-institute-of-technology,mit,MIT,MIT,#9C1537
Massachusetts-Lowell,"Lowell, Massachusetts",massachusetts-lowell,umass-lowell,Mass.-Lowell,UMass Lowell,#003DA5
McNeese State,"Lake Charles, Louisiana",mcneese-state,mcneese-st,McNeese St.,McNeese State University,#003087
Memphis,"Memphis, Tennessee",memphis,memphis,Memphis,University of Memphis,#173B70
Mercer,"Macon, Georgia",mercer,mercer,Mercer,Mercer University,#E87722
Merchant Marine Mariners,"King's Point, New York",merchant-marine-academy,merchant-marine,Merchant Marine,U.S. Merchant Marine Academy,#002C9A
Merrimack,"North Andover, Massachusetts",merrimack,merrimack,Merrimack,Merrimack College,#003057
Miami (FL),"Coral Gables, Florida",miami-fl,miami-fl,Miami (Fla.),University of Miami,#154734
Miami (OH),"Oxford, Ohio",miami-oh,miami-oh,Miami (OH),Miami University (Ohio),#C8102E
Michigan,"Ann Arbor, Michigan",michigan,michigan,Michigan,University of Michigan,#041E42
Michigan State,"East Lansing, Michigan",michigan-state,michigan-st,Michigan St.,Michigan State University,#173F35
Middle Tennessee,"Murfreesboro, Tennessee",middle-tennessee,middle-tenn,Middle Tenn.,Middle Tennessee State University,#006FAB
Millikin Big Blue,"Decatur, Illinois",millikin,millikin,Millikin,Millikin University,#003865
Millsaps Majors,"Jackson, Mississippi",millsaps,millsaps,Millsaps,Millsaps College,#29358F
Milwaukee,"Milwaukee, Wisconsin",milwaukee,milwaukee,Milwaukee,"University of Wisconsin, Milwaukee",#010101
Minnesota,"Minneapolis, Minnesota",minnesota,minnesota,Minnesota,University of Minnesota,#861F41
Minnesota A&M Aggies,"St. Paul, Minnesota",minnesota-am,,,,
Mississippi,"University, Mississippi",mississippi,ole-miss,Mississippi,University of Mississippi,#C8102E
Mississippi State,"Mississippi State, Mississippi",mississippi-state,mississippi-st,Mississippi St.,Mississippi State University,#5D1725
Mississippi Valley State,"Itta Bena, Mississippi",mississippi-valley-state,mississippi-val,Mississippi Val.,Mississippi Valley State University,#046A38
Missouri,"Columbia, Missouri",missouri,missouri,Missouri,University of Missouri,#010101
Missouri State,"Springfield, Missouri",missouri-state,missouri-st,Missouri St.,Missouri State University,#6F2C3F
Monmouth,"West Long Branch, New Jersey",monmouth,monmouth,Monmouth,Monmouth University,#041E42
Montana,"Missoula, Montana",montana,montana,Montana,University of Montana,#6F2C3F
Montana State,"Bozeman, Montana",montana-state,montana-st,Montana St.,Montana State University-Bozeman,#00205B
Morehead State,"Morehead, Kentucky",morehead-state,morehead-st,Morehead St.,Morehead State University,#0032A0
Morgan State,"Baltimore, Maryland",morgan-state,morgan-st,Morgan St.,Morgan State University,#FC4C02
Morris Brown Wolverines,"Atlanta, Georgia",morris-brown,morris-brown,Morris Brown,Morris Brown College,
Mount St. Mary's,"Emmitsburg, Maryland",mount-st-marys,mt-st-marys,Mt. St. Mary's,Mount St. Mary's University,#002F6C
Mount Union Purple Raiders,"Alliance, Ohio",mount-union,mount-union,Mount Union,Mount Union College,#482889
